"","id","rank","dma","tv_homes_count","pct","dma_code"
"1","500","80","Portland-Auburn","389530",0.00341,"500"
"2","501","1","New York","7384340",0.06468,"501"
"3","502","157","Binghamton","133420",0.00117,"502"
"4","503","120","Macon","241170",0.00211,"503"
"5","504","4","Philadelphia","2949310",0.02583,"504"
"6","505","11","Detroit","1845920",0.01617,"505"
"7","506","7","Boston (Manchester)","2366690",0.02073,"506"
"8","507","92","Savannah","334750",0.00293,"507"
"9","508","23","Pittsburgh","1165740",0.01021,"508"
"10","509","109","Ft. Wayne","265390",0.00232,"509"
"11","510","18","Cleveland-Akron (Canton)","1485140",0.01301,"510"
"12","511","8","Washington, DC (Hagrstwn)","2359160",0.02066,"511"
"13","512","27","Baltimore","1085070",0.0095,"512"
"14","513","67","Flint-Saginaw-Bay City","446010",0.00391,"513"
"15","514","52","Buffalo","632150",0.00554,"514"
"16","515","35","Cincinnati","897890",0.00786,"515"
"17","516","146","Erie","155190",0.00136,"516"
"18","517","25","Charlotte","1136420",0.00995,"517"
"19","518","46","Greensboro-H.Point-W.Salem","695100",0.00609,"518"
"20","519","98","Charleston, SC","316080",0.00277,"519"
"21","520","113","Augusta-Aiken","257730",0.00226,"520"
"22","521","53","Providence-New Bedford","606400",0.00531,"521"
"23","522","127","Columbus, GA (Opelika, AL)","216920",0.0019,"522"
"24","523","97","Burlington-Plattsburgh","316910",0.00278,"523"
"25","524","9","Atlanta","2326840",0.02038,"524"
"26","525","150","Albany, GA","150110",0.00131,"525"
"27","526","172","Utica","102890",9e-04,"526"
"28","527","26","Indianapolis","1089700",0.00954,"527"
"29","528","16","Miami-Ft. Lauderdale","1621130",0.0142,"528"
"30","529","48","Louisville","670880",0.00588,"529"
"31","530","106","Tallahassee-Thomasville","273120",0.00239,"530"
"32","531","96","Tri-Cities, TN-VA","319060",0.00279,"531"
"33","532","58","Albany-Schenectady-Troy","540050",0.00473,"532"
"34","533","30","Hartford & New Haven","996550",0.00873,"533"
"35","534","19","Orlando-Daytona Bch-Melbrn","1453170",0.01273,"534"
"36","535","32","Columbus, OH","930460",0.00815,"535"
"37","536","110","Youngstown","260000",0.00228,"536"
"38","537","155","Bangor","138040",0.00121,"537"
"39","538","78","Rochester, NY","395680",0.00347,"538"
"40","539","14","Tampa-St. Pete (Sarasota)","1806560",0.01582,"539"
"41","540","119","Traverse City-Cadillac","241800",0.00212,"540"
"42","541","64","Lexington","485630",0.00425,"541"
"43","542","63","Dayton","498270",0.00436,"542"
"44","543","114","Springfield-Holyoke","252950",0.00222,"543"
"45","544","44","Norfolk-Portsmth-Newpt Nws","709730",0.00622,"544"
"46","545","100","Greenville-N.Bern-Washngtn","303280",0.00266,"545"
"47","546","77","Columbia, SC","398510",0.00349,"546"
"48","547","76","Toledo","409550",0.00359,"547"
"49","548","38","West Palm Beach-Ft. Pierce","794310",0.00696,"548"
"50","549","177","Watertown","92590",0.00081,"549"
"51","550","132","Wilmington","188420",0.00165,"550"
"52","551","115","Lansing","251140",0.0022,"551"
"53","552","205","Presque Isle","29250",0.00026,"552"
"54","553","180","Marquette","84640",0.00074,"553"
"55","554","158","Wheeling-Steubenville","130110",0.00114,"554"
"56","555","84","Syracuse","377550",0.00331,"555"
"57","556","57","Richmond-Petersburg","553390",0.00485,"556"
"58","557","61","Knoxville","520890",0.00456,"557"
"59","558","199","Lima","51240",0.00045,"558"
"60","559","156","Bluefield-Beckley-Oak Hill","134410",0.00118,"559"
"61","560","24","Raleigh-Durham (Fayetvlle)","1150350",0.01008,"560"
"62","561","50","Jacksonville","659170",0.00577,"561"
"63","563","39","Grand Rapids-Kalmzoo-B.Crk","720150",0.00631,"563"
"64","564","65","Charleston-Huntington","455490",0.00399,"564"
"65","565","174","Elmira (Corning)","95530",0.00084,"565"
"66","566","43","Harrisburg-Lncstr-Leb-York","716990",0.00628,"566"
"67","567","37","Greenvll-Spart-Ashevll-And","846030",0.00741,"567"
"68","569","178","Harrisonburg","90260",0.00079,"569"
"69","570","103","Myrtle Beach-Florence","285550",0.0025,"570"
"70","571","62","Ft. Myers-Naples","502050",0.0044,"571"
"71","573","68","Roanoke-Lynchburg","445470",0.0039,"573"
"72","574","102","Johnstown-Altoona-St Colge","288100",0.00252,"574"
"73","575","87","Chattanooga","353710",0.0031,"575"
"74","576","144","Salisbury","157830",0.00138,"576"
"75","577","54","Wilkes Barre-Scranton-Hztn","581020",0.00509,"577"
"76","581","154","Terre Haute","139600",0.00122,"581"
"77","582","189","Lafayette, IN","66240",0.00058,"582"
"78","583","208","Alpena","16910",0.00015,"583"
"79","584","183","Charlottesville","74340",0.00065,"584"
"80","588","95","South Bend-Elkhart","319860",0.0028,"588"
"81","592","163","Gainesville","123430",0.00108,"592"
"82","596","203","Zanesville","32940",0.00029,"596"
"83","597","193","Parkersburg","62620",0.00055,"597"
"84","598","170","Clarksburg-Weston","106480",0.00093,"598"
"85","600","129","Corpus Christi","203730",0.00178,"600"
"86","602","3","Chicago","3484800",0.03052,"602"
"87","603","149","Joplin-Pittsburg","151200",0.00132,"603"
"88","604","138","Columbia-Jefferson City","173640",0.00152,"604"
"89","605","136","Topeka","176160",0.00154,"605"
"90","606","169","Dothan","107110",0.00094,"606"
"91","609","21","St. Louis","1243490",0.01089,"609"
"92","610","135","Rockford","179240",0.00157,"610"
"93","611","153","Rochestr-Mason City-Austin","143330",0.00126,"611"
"94","612","82","Shreveport","384410",0.00337,"612"
"95","613","15","Minneapolis-St. Paul","1728050",0.01513,"613"
"96","616","31","Kansas City","931320",0.00816,"616"
"97","617","34","Milwaukee","902190",0.0079,"617"
"98","618","10","Houston","2215650",0.01941,"618"
"99","619","74","Springfield, MO","414570",0.00363,"619"
"100","622","51","New Orleans","641550",0.00562,"622"
"101","623","5","Dallas-Ft. Worth","2588020",0.02267,"623"
"102","624","147","Sioux City","154830",0.00136,"624"
"103","625","88","Waco-Temple-Bryan","349540",0.00306,"625"
"104","626","204","Victoria","31560",0.00028,"626"
"105","627","143","Wichita Falls & Lawton","158500",0.00139,"627"
"106","628","137","Monroe-El Dorado","175960",0.00154,"628"
"107","630","42","Birmingham (Ann and Tusc)","717530",0.00628,"630"
"108","631","200","Ottumwa-Kirksville","46730",0.00041,"631"
"109","632","81","Paducah-Cape Girard-Harsbg","388340",0.0034,"632"
"110","633","152","Odessa-Midland","147730",0.00129,"633"
"111","634","130","Amarillo","197110",0.00173,"634"
"112","635","45","Austin","705280",0.00618,"635"
"113","636","86","Harlingen-Wslco-Brnsvl-McA","364160",0.00319,"636"
"114","637","90","Cedar Rapids-Wtrlo-IWC&Dub","342610",0.003,"637"
"115","638","201","St. Joseph","46180",4e-04,"638"
"116","639","176","Jackson, TN","93090",0.00081,"639"
"117","640","49","Memphis","662830",0.00581,"640"
"118","641","36","San Antonio","881050",0.00772,"641"
"119","642","124","Lafayette, LA","229320",0.00201,"642"
"120","643","175","Lake Charles","94610",0.00083,"643"
"121","644","179","Alexandria, LA","89280",0.00078,"644"
"122","647","188","Greenwood-Greenville","66410",0.00058,"647"
"123","648","83","Champaign&Sprngfld-Decatur","378720",0.00332,"648"
"124","649","104","Evansville","284040",0.00249,"649"
"125","650","41","Oklahoma City","718770",0.0063,"650"
"126","651","142","Lubbock","159840",0.0014,"651"
"127","652","75","Omaha","414060",0.00363,"652"
"128","656","159","Panama City","129390",0.00113,"656"
"129","657","161","Sherman-Ada","126930",0.00111,"657"
"130","658","69","Green Bay-Appleton","441800",0.00387,"658"
"131","659","29","Nashville","1014910",0.00889,"659"
"132","661","196","San Angelo","55820",0.00049,"661"
"133","662","164","Abilene-Sweetwater","114080",0.001,"662"
"134","669","85","Madison","376670",0.0033,"669"
"135","670","101","Ft. Smith-Fay-Sprngdl-Rgrs","297590",0.00261,"670"
"136","671","59","Tulsa","526960",0.00462,"671"
"137","673","133","Columbus-Tupelo-W Pnt-Hstn","184990",0.00162,"673"
"138","675","116","Peoria-Bloomington","244050",0.00214,"675"
"139","676","139","Duluth-Superior","169610",0.00149,"676"
"140","678","66","Wichita-Hutchinson Plus","450300",0.00394,"678"
"141","679","72","Des Moines-Ames","427860",0.00375,"679"
"142","682","99","Davenport-R.Island-Moline","303800",0.00266,"682"
"143","686","60","Mobile-Pensacola (Ft Walt)","525990",0.00461,"686"
"144","687","151","Minot-Bsmrck-Dcknsn(Wlstn)","150000",0.00131,"687"
"145","691","79","Huntsville-Decatur (Flor)","390590",0.00342,"691"
"146","692","141","Beaumont-Port Arthur","167110",0.00146,"692"
"147","693","56","Little Rock-Pine Bluff","561760",0.00492,"693"
"148","698","118","Montgomery-Selma","241930",0.00212,"698"
"149","702","128","La Crosse-Eau Claire","211670",0.00185,"702"
"150","705","134","Wausau-Rhinelander","179450",0.00157,"705"
"151","709","107","Tyler-Longview(Lfkn&Ncgd)","268150",0.00235,"709"
"152","710","167","Hattiesburg-Laurel","109950",0.00096,"710"
"153","711","186","Meridian","68860",6e-04,"711"
"154","716","94","Baton Rouge","329620",0.00289,"716"
"155","717","171","Quincy-Hannibal-Keokuk","103520",0.00091,"717"
"156","718","93","Jackson, MS","331500",0.0029,"718"
"157","722","105","Lincoln & Hastings-Krny","276790",0.00242,"722"
"158","724","117","Fargo-Valley City","243890",0.00214,"724"
"159","725","112","Sioux Falls(Mitchell)","258460",0.00226,"725"
"160","734","181","Jonesboro","80740",0.00071,"734"
"161","736","182","Bowling Green","78780",0.00069,"736"
"162","737","198","Mankato","52530",0.00046,"737"
"163","740","209","North Platte","14720",0.00013,"740"
"164","743","145","Anchorage","156280",0.00137,"743"
"165","744","71","Honolulu","437790",0.00383,"744"
"166","745","202","Fairbanks","37920",0.00033,"745"
"167","746","160","Biloxi-Gulfport","128300",0.00112,"746"
"168","747","207","Juneau","26320",0.00023,"747"
"169","749","184","Laredo","72590",0.00064,"749"
"170","751","17","Denver","1566460",0.01372,"751"
"171","752","89","Colorado Springs-Pueblo","343990",0.00301,"752"
"172","753","13","Phoenix (Prescott)","1812040",0.01587,"753"
"173","754","187","Butte-Bozeman","67180",0.00059,"754"
"174","755","190","Great Falls","65930",0.00058,"755"
"175","756","168","Billings","109730",0.00096,"756"
"176","757","111","Boise","259090",0.00227,"757"
"177","758","162","Idaho Fals-Pocatllo(Jcksn)","125710",0.0011,"758"
"178","759","195","Cheyenne-Scottsbluff","56350",0.00049,"759"
"179","760","191","Twin Falls","64100",0.00056,"760"
"180","762","166","Missoula","113010",0.00099,"762"
"181","764","173","Rapid City","98020",0.00086,"764"
"182","765","91","El Paso (Las Cruces)","339130",0.00297,"765"
"183","766","206","Helena","28260",0.00025,"766"
"184","767","197","Casper-Riverton","55270",0.00048,"767"
"185","770","33","Salt Lake City","917370",0.00803,"770"
"186","771","165","Yuma-El Centro","113230",0.00099,"771"
"187","773","185","Grand Junction-Montrose","70580",0.00062,"773"
"188","789","70","Tucson (Sierra Vista)","438440",0.00384,"789"
"189","790","47","Albuquerque-Santa Fe","691450",0.00606,"790"
"190","798","210","Glendive","4050",4e-05,"798"
"191","800","126","Bakersfield","221740",0.00194,"800"
"192","801","121","Eugene","235570",0.00206,"801"
"193","802","194","Eureka","59610",0.00052,"802"
"194","803","2","Los Angeles","5613460",0.04917,"803"
"195","804","148","Palm Springs","154560",0.00135,"804"
"196","807","6","San Francisco-Oak-San Jose","2502030",0.02191,"807"
"197","810","122","Yakima-Pasco-Rchlnd-Knnwck","231950",0.00203,"810"
"198","811","108","Reno","265600",0.00233,"811"
"199","813","140","Medford-Klamath Falls","167820",0.00147,"813"
"200","819","12","Seattle-Tacoma","1818900",0.01593,"819"
"201","820","22","Portland, OR","1182180",0.01035,"820"
"202","821","192","Bend, OR","62950",0.00055,"821"
"203","825","28","San Diego","1075120",0.00942,"825"
"204","828","125","Monterey-Salinas","224240",0.00196,"828"
"205","839","40","Las Vegas","718990",0.0063,"839"
"206","855","122","SantaBarbra-SanMar-SanLuOb","231950",0.00203,"855"
"207","862","20","Sacramnto-Stkton-Modesto","1387710",0.01215,"862"
"208","866","55","Fresno-Visalia","576820",0.00505,"866"
"209","868","131","Chico-Redding","191500",0.00168,"868"
"210","881","73","Spokane","420640",0.00368,"881"
